User_ID,Timestamp,IP_Address,Location,Login_Status,Access_Duration,Failed_Login_Count
103,1/2/2024 11:13,129.153.198.180,"Berlin, Germany",Success,371,20
436,1/6/2024 16:57,183.214.39.114,"London, UK",Success,2152,23
349,1/3/2024 19:01,113.163.209.250,"Beijing, China",Success,2326,20
271,1/6/2024 9:31,133.144.103.224,"Berlin, Germany",Success,1054,11
107,1/2/2024 14:13,130.8.186.60,"New York, USA",Success,1849,18
72,1/7/2024 0:34,77.254.42.34,"Mumbai, India",Success,1545,15
189,1/1/2024 4:07,112.108.176.251,"Berlin, Germany",Failed,0,23
21,1/3/2024 23:02,3.173.150.154,"Beijing, China",Success,3211,14
103,1/4/2024 6:10,116.115.120.25,"New York, USA",Success,2523,20
122,1/5/2024 1:59,160.26.158.113,"London, UK",Failed,0,15
467,1/6/2024 21:36,181.27.237.216,"Beijing, China",Success,1570,21
215,1/4/2024 16:05,149.198.170.29,"Mumbai, India",Success,1410,23
331,1/1/2024 5:19,124.220.123.53,"Beijing, China",Success,1523,23
459,1/6/2024 5:28,202.172.86.30,"Beijing, China",Failed,0,27
88,1/5/2024 20:01,88.80.186.159,"Mumbai, India",Success,3044,25
373,1/4/2024 13:50,86.3.94.220,"Berlin, Germany",Success,2672,23
100,1/5/2024 17:06,130.199.228.88,"New York, USA",Success,1190,26
360,1/5/2024 2:58,179.254.147.111,"New York, USA",Failed,0,17
152,1/6/2024 11:23,193.193.207.66,"Mumbai, India",Success,1532,18
131,1/6/2024 15:05,82.195.110.208,"Beijing, China",Success,490,20
150,1/4/2024 0:21,174.228.160.231,"London, UK",Success,2886,19
309,1/5/2024 0:50,132.115.151.116,"London, UK",Success,3184,13
258,1/6/2024 18:34,78.149.226.163,"New York, USA",Success,3386,18
344,1/4/2024 16:17,178.141.167.230,"Berlin, Germany",Success,2740,19
492,1/3/2024 12:55,169.227.59.103,"Berlin, Germany",Failed,0,18
414,1/4/2024 15:34,61.4.172.164,"Mumbai, India",Success,2523,21
294,1/7/2024 14:22,151.89.105.16,"Mumbai, India",Success,1890,18
386,1/4/2024 5:45,109.175.48.85,"New York, USA",Success,200,19
192,1/3/2024 22:55,101.136.177.81,"New York, USA",Success,589,20
444,1/2/2024 23:35,132.145.219.213,"New York, USA",Success,2807,20
277,1/7/2024 2:36,138.243.239.128,"Mumbai, India",Success,1847,21
161,1/4/2024 12:15,11.234.190.220,"London, UK",Success,492,21
460,1/3/2024 6:22,110.18.63.223,"Beijing, China",Success,1036,24
314,1/5/2024 12:23,124.224.226.204,"Beijing, China",Success,677,19
22,1/5/2024 2:59,131.148.124.195,"Mumbai, India",Failed,0,20
253,1/2/2024 10:14,112.131.123.138,"Berlin, Germany",Failed,0,15
236,1/3/2024 23:50,166.107.43.197,"London, UK",Success,2888,26
345,1/4/2024 18:10,121.176.23.197,"Mumbai, India",Success,188,19
49,1/2/2024 23:34,218.17.215.90,"London, UK",Success,1527,21
475,1/3/2024 19:28,100.255.205.158,"New York, USA",Failed,0,19
59,1/5/2024 16:34,61.93.212.42,"Berlin, Germany",Success,3160,27
170,1/5/2024 16:26,72.239.180.7,"Beijing, China",Failed,0,24
476,1/7/2024 8:38,116.52.48.139,"Mumbai, India",Success,1769,18
188,1/3/2024 4:39,189.181.186.216,"Beijing, China",Failed,0,23
464,1/3/2024 4:05,220.199.227.146,"Beijing, China",Failed,0,15
271,1/2/2024 14:05,40.218.109.97,"New York, USA",Failed,0,20
190,1/6/2024 14:45,9.116.93.109,"London, UK",Success,149,16
446,1/1/2024 23:39,179.130.62.230,"London, UK",Success,493,19
175,1/1/2024 9:26,106.143.73.72,"Mumbai, India",Success,1197,15
446,1/2/2024 5:06,166.193.42.206,"Beijing, China",Success,1350,23
51,1/4/2024 0:27,152.160.7.17,"London, UK",Success,3087,26
364,1/7/2024 0:57,61.244.135.128,"New York, USA",Success,1465,23
55,1/7/2024 19:12,8.47.6.185,"Berlin, Germany",Success,1967,20
244,1/3/2024 20:29,135.84.208.210,"New York, USA",Success,1249,18
320,1/5/2024 3:32,145.19.169.242,"London, UK",Success,345,25
131,1/3/2024 18:04,186.226.183.173,"Berlin, Germany",Success,3032,30
485,1/6/2024 20:36,91.211.49.166,"Beijing, China",Failed,0,22
307,1/4/2024 19:31,104.13.74.245,"Mumbai, India",Success,2760,13
135,1/4/2024 12:05,201.13.181.219,"Berlin, Germany",Success,2909,22
21,1/5/2024 22:06,194.182.240.132,"Mumbai, India",Success,1029,20
329,1/4/2024 20:46,9.179.219.213,"New York, USA",Failed,0,25
167,1/3/2024 8:50,217.140.220.21,"New York, USA",Success,2363,23
274,1/2/2024 17:44,170.203.175.90,"Mumbai, India",Success,1054,20
388,1/6/2024 19:29,106.149.180.113,"Beijing, China",Success,2648,13
89,1/1/2024 4:59,4.1.43.214,"Mumbai, India",Success,3071,9
316,1/1/2024 8:54,159.69.80.225,"New York, USA",Success,2993,16
14,1/4/2024 7:27,87.59.19.173,"New York, USA",Failed,0,16
